tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
30,0.7,1.0,1.0,0.5666666666666667,0.9
40,0.65,0.875,0.6,0.575,0.675
50,0.5,0.78,0.52,0.54,0.58
60,0.45,0.65,0.43333333333333335,0.5166666666666667,0.5
70,0.42857142857142855,0.5857142857142857,0.4142857142857143,0.44285714285714284,0.45714285714285713
80,0.2875,0.525,0.3125,0.375,0.3375
90,0.26666666666666666,0.4444444444444444,0.3111111111111111,0.4111111111111111,0.3333333333333333
100,0.22,0.4,0.25,0.36,0.27
