algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,30,30,4,0.8,1.0,0.423371099983342
DMMP-R-RL-AC,30,30,4,0.8,1.0,0.8019371000118554
Greedy-Nearest,30,30,4,0.9666666666666667,1.0,0.012120900035370141
PSO,30,30,4,0.6666666666666666,0.8571428571428571,11.12283030000981
DPSO,30,30,4,0.7333333333333333,0.8571428571428571,22.25309799995739
