tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,0.050062199821695685,0.41421120008453727,3.944061700021848,0.003760299878194928,2.7635660998057574
20,0.12762649985961616,4.487333099823445,7.6496021000202745,0.0049051998648792505,3.780825400026515
30,0.2685020000208169,13.719780300045386,13.84231170010753,0.004838399821892381,5.4567299000918865
40,0.2834468998480588,17.58707039989531,25.32108510006219,0.007578799966722727,9.431081000017002
50,0.3898312000092119,46.6445319999475,33.369238399900496,0.008760799886658788,11.66766000003554
60,0.6712939001154155,67.92764079989865,43.42388020013459,0.0070170999970287085,13.517996500013396
70,0.9301738000940531,64.51868809992447,55.63025019993074,0.009989200159907341,15.277683299966156
80,1.1805108000990003,98.63599820015952,40.20989409997128,0.009367399848997593,10.557753999950364
90,0.7712705000303686,86.73364470014349,76.59633800014853,0.005344599951058626,14.351509999949485
100,0.9231988000683486,144.79404409998097,94.62848119996488,0.012014999985694885,21.11033899988979
