uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.24,0.42,0.34,0.46,0.38
4,0.42,0.6,0.5,0.44,0.44
5,0.38,0.72,0.52,0.72,0.54
6,0.52,0.76,0.62,0.66,0.64
7,0.58,0.86,0.72,0.68,0.66
8,0.54,0.8,0.92,0.68,0.88
9,0.62,0.82,0.92,0.84,0.82
10,0.64,0.86,0.98,0.82,0.92
11,0.72,0.84,1.0,0.74,0.94
12,0.7,0.88,1.0,0.6,0.96
13,0.68,0.82,1.0,0.88,0.98
14,0.68,0.86,1.0,0.9,0.92
15,0.7,0.86,1.0,0.74,0.94
16,0.84,0.92,1.0,0.76,0.94
17,0.8,0.92,1.0,0.7,0.98
18,0.82,0.96,1.0,0.68,0.96
19,0.76,0.92,1.0,0.84,0.96
20,0.94,0.98,1.0,0.78,0.98
