algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,50,3,0.24,0.25,0.275603000074625
DMMP-R-RL-AC,3,50,3,0.42,1.0,39.9890052000992
Greedy-Nearest,3,50,3,0.46,0.25,0.008379600010812283
PSO,3,50,3,0.38,0.25,10.268264699960127
DPSO,3,50,3,0.34,0.5,36.60891310009174
DMMP-PR-TSA,4,50,4,0.42,0.75,0.4861862000543624
DMMP-R-RL-AC,4,50,4,0.6,1.0,31.9888228001073
Greedy-Nearest,4,50,4,0.44,1.0,0.006027400027960539
PSO,4,50,4,0.44,0.25,8.08979419991374
DPSO,4,50,4,0.5,0.5,25.5109272999689
DMMP-PR-TSA,5,50,5,0.38,0.75,0.5099750000517815
DMMP-R-RL-AC,5,50,5,0.72,1.0,47.93925779988058
Greedy-Nearest,5,50,5,0.72,1.0,0.010255200089886785
PSO,5,50,5,0.54,1.0,12.475628700107336
DPSO,5,50,5,0.52,0.75,33.02963860007003
DMMP-PR-TSA,6,50,6,0.52,0.0,0.36959210014902055
DMMP-R-RL-AC,6,50,6,0.76,1.0,48.611111499834806
Greedy-Nearest,6,50,6,0.66,0.25,0.01033689989708364
PSO,6,50,6,0.64,1.0,13.30415129987523
DPSO,6,50,6,0.62,0.75,35.486847599968314
DMMP-PR-TSA,7,50,7,0.58,0.75,0.3896373000461608
DMMP-R-RL-AC,7,50,7,0.86,1.0,39.38820909988135
Greedy-Nearest,7,50,7,0.68,0.25,0.00966760003939271
PSO,7,50,7,0.66,0.5,14.187873400049284
DPSO,7,50,7,0.72,1.0,34.87036960013211
DMMP-PR-TSA,8,50,8,0.54,1.0,0.56934479996562
DMMP-R-RL-AC,8,50,8,0.8,1.0,45.3086808999069
Greedy-Nearest,8,50,8,0.68,0.25,0.008428000146523118
PSO,8,50,8,0.88,1.0,14.18148749996908
DPSO,8,50,8,0.92,0.75,40.130017099902034
DMMP-PR-TSA,9,50,9,0.62,0.5,0.41910749999806285
DMMP-R-RL-AC,9,50,9,0.82,1.0,46.68212269991636
Greedy-Nearest,9,50,9,0.84,1.0,0.010519899893552065
PSO,9,50,9,0.82,1.0,14.256332300137728
DPSO,9,50,9,0.92,0.75,37.32503810012713
DMMP-PR-TSA,10,50,10,0.64,0.75,0.42350700008682907
DMMP-R-RL-AC,10,50,10,0.86,1.0,32.02295159990899
Greedy-Nearest,10,50,10,0.82,1.0,0.010490000015124679
PSO,10,50,10,0.92,1.0,15.312742099864408
DPSO,10,50,10,0.98,1.0,41.98575300001539
DMMP-PR-TSA,11,50,11,0.72,1.0,1.0148527999408543
DMMP-R-RL-AC,11,50,11,0.84,1.0,45.40027040010318
Greedy-Nearest,11,50,11,0.74,1.0,0.011360100004822016
PSO,11,50,11,0.94,1.0,15.500685299979523
DPSO,11,50,11,1.0,1.0,41.63620839989744
DMMP-PR-TSA,12,50,12,0.7,1.0,0.9382728999480605
DMMP-R-RL-AC,12,50,12,0.88,1.0,28.06315669999458
Greedy-Nearest,12,50,12,0.6,0.25,0.011335499817505479
PSO,12,50,12,0.96,1.0,18.35063760005869
DPSO,12,50,12,1.0,1.0,41.82853910000995
DMMP-PR-TSA,13,50,13,0.68,0.75,0.440817299997434
DMMP-R-RL-AC,13,50,13,0.82,1.0,71.3239674998913
Greedy-Nearest,13,50,13,0.88,1.0,0.012252300046384335
PSO,13,50,13,0.98,1.0,18.85032629990019
DPSO,13,50,13,1.0,1.0,43.58188410010189
DMMP-PR-TSA,14,50,14,0.68,1.0,0.551416200120002
DMMP-R-RL-AC,14,50,14,0.86,1.0,60.5576080000028
Greedy-Nearest,14,50,14,0.9,1.0,0.012141000013798475
PSO,14,50,14,0.92,1.0,17.645637100096792
DPSO,14,50,14,1.0,1.0,40.66679049981758
DMMP-PR-TSA,15,50,15,0.7,1.0,0.6331911000888795
DMMP-R-RL-AC,15,50,15,0.86,1.0,62.559308800147846
Greedy-Nearest,15,50,15,0.74,0.25,0.011432099854573607
