tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,PSO,Random
30,0.18285429995739833,0.18515760003356263,10.458532900025602,4.592283000005409,0.0030815000063739717
40,0.30171420000260696,0.39694290002807975,15.435433200036641,6.510953499993775,0.0030690000276081264
50,0.3986083999625407,0.4706376999965869,19.245613800012507,7.533408299961593,0.002976300020236522
60,0.5206860000034794,0.5896084000123665,25.381946499983314,8.85282939998433,0.0035383999929763377
70,1.312269100046251,0.8732286999584176,29.711492100032046,9.518898000009358,0.005066099984105676
80,0.7177482999977656,0.8108550000470132,36.84592370002065,10.461441499995999,0.003920100047253072
90,0.6979140000184998,0.9316237000166439,41.848632999986876,11.336725700006355,0.008545499993488193
100,1.659225300012622,0.9045089000137523,49.24942380003631,12.477349399996456,0.004541900008916855
