uavs,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
3,0.2184586999937892,15.052446200046688,0.005514099961146712,2.8792459999676794
4,0.2762327000964433,24.188541899900883,0.006642800057306886,3.3061871000099927
5,0.29463239992037416,17.829721599817276,0.005627700127661228,3.8004902000539005
6,0.26077409996651113,10.098818900063634,0.0056252998765558004,4.222499500028789
7,0.32051629992201924,7.715529800159857,0.007751000113785267,4.302855000132695
8,0.24971650005318224,7.325261399848387,0.006499400129541755,4.600868700072169
9,0.24228100012987852,11.711577700218186,0.0087268000934273,5.774380200076848
10,0.25874560000374913,5.358777099987492,0.009287500055506825,5.128851499874145
11,0.25180290010757744,3.127656599972397,0.011900800047442317,5.276172599988058
12,0.2940265000797808,7.205206300131977,0.010941399959847331,5.864768699975684
13,0.23897220008075237,6.7879522000439465,0.010253999847918749,6.168198100058362
14,0.2590441000647843,4.547385200159624,0.010987300192937255,6.4433518999721855
15,0.31990789994597435,4.361598199931905,0.01013109995983541,6.692942199995741
16,0.26613120012916625,4.385479600168765,0.014589600032195449,7.55150349996984
17,0.2115837000310421,1.7477337999735028,0.02150689996778965,7.470583799993619
18,0.27326439996249974,4.2756945001892745,0.010897599859163165,7.482268000021577
19,0.227752499980852,1.8794877999462187,0.010902400128543377,7.752039399929345
20,0.24145890004001558,1.7276222999207675,0.010592699982225895,7.970291600096971
