uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,6.435984900221229,0.8919135998003185,31.74868379998952,0.01809479994699359,15.86192770022899
4,3.2451439001597464,0.37890549981966615,16.145580899901688,0.01198319997638464,7.63564720004797
5,5.180830799974501,0.3042252999730408,21.034324300009757,0.008071099873632193,9.362528800033033
6,3.5455129998736084,0.3279587998986244,22.358756999950856,0.017272499855607748,8.808898300398141
7,3.8175650001503527,0.21796649973839521,21.75380379986018,0.0178424003534019,8.8734919000417
8,3.7321024001576006,0.19476049998775125,23.764193400274962,0.020132599864155054,9.242171199992299
9,3.865542700048536,0.21748150000348687,23.90467040007934,0.022007000166922808,9.386912899557501
10,4.288509800098836,0.17219340009614825,24.192989999894053,0.015938300173729658,9.766290999948978
11,4.35342469997704,0.2386183999478817,32.74028109991923,0.030725100077688694,10.687860900070518
12,29.510114199947566,0.3349473001435399,29.67366369999945,0.01082099974155426,14.234578100033104
13,3.8160155001096427,0.18614389980211854,27.148776200134307,0.011936200316995382,12.680770500097424
14,4.427419600076973,0.19323370000347495,27.49075930006802,0.020041499752551317,11.564978399779648
15,4.069125100038946,0.19432220002636313,26.670749200042337,0.027183200232684612,11.907435699831694
16,4.326504399999976,0.1413909001275897,27.834649899974465,0.02695599989965558,12.66644260007888
17,4.656154899857938,0.15658160019665956,29.756916499696672,0.02280430030077696,14.313401900231838
18,4.241466599982232,0.12569870008155704,42.18353989999741,0.015778899658471346,13.111518799792975
19,9.023687700275332,0.3201705999672413,43.41362110013142,0.0266677001491189,30.789786299690604
20,3.7706096000038087,0.08746170019730926,30.305913999676704,0.012465599924325943,13.529103900305927
