tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,0.06501530017703772,0.22536269994452596,4.520904700038955,0.006988900015130639,2.407610099995509
20,0.16968400008045137,7.963153700111434,7.506206799997017,0.00453240005299449,4.151995899854228
30,0.17061130004003644,10.26753589999862,12.058271600166336,0.006515299901366234,5.273258100030944
40,0.27074930001981556,18.912947699893266,17.75228270003572,0.005818600067868829,7.12037150003016
50,0.7209958001039922,28.78963729995303,25.92123660002835,0.005163300083950162,9.354023899883032
60,0.5507940000388771,70.43934130016714,33.247548499843106,0.007654400076717138,11.4377854000777
70,0.4723249999806285,61.11213699984364,37.96927250013687,0.00904519995674491,12.185404799878597
80,0.7186084999702871,72.92809409997426,47.7091373000294,0.008794399909675121,12.598625599872321
90,0.8622333998791873,81.11792859993875,64.57654589996673,0.010430499911308289,14.14980770018883
100,0.6153373999986798,127.26493179984391,66.13353059999645,0.011521300068125129,15.258621299872175
