algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-PR-TSA,10.0,10,5,1.0,1.0,0.06501530017703772,
DMMP-R-RL-AC,10.0,10,5,1.0,1.0,0.22536269994452596,
Greedy-Nearest,10.0,10,5,0.9,1.0,0.006988900015130639,
PSO,10.0,10,5,1.0,1.0,2.407610099995509,
DPSO,10.0,10,5,1.0,1.0,4.520904700038955,
DMMP-PR-TSA,20.0,20,5,0.7,0.875,0.16968400008045137,
DMMP-R-RL-AC,20.0,20,5,0.95,1.0,7.963153700111434,
Greedy-Nearest,20.0,20,5,0.9,1.0,0.00453240005299449,
PSO,20.0,20,5,1.0,1.0,4.151995899854228,
DPSO,20.0,20,5,1.0,1.0,7.506206799997017,
DMMP-PR-TSA,30.0,30,5,0.9,1.0,0.17061130004003644,
DMMP-R-RL-AC,30.0,30,5,0.9666666666666667,1.0,10.26753589999862,
Greedy-Nearest,30.0,30,5,0.7333333333333333,0.8181818181818182,0.006515299901366234,
PSO,30.0,30,5,0.9,1.0,5.273258100030944,
DPSO,30.0,30,5,1.0,1.0,12.058271600166336,
DMMP-PR-TSA,40.0,40,5,0.55,0.6875,0.27074930001981556,
DMMP-R-RL-AC,40.0,40,5,0.825,1.0,18.912947699893266,
Greedy-Nearest,40.0,40,5,0.675,0.6875,0.005818600067868829,
PSO,40.0,40,5,0.625,0.6875,7.12037150003016,
DPSO,40.0,40,5,0.725,0.8125,17.75228270003572,
DMMP-PR-TSA,50.0,50,5,0.6,0.8,0.7209958001039922,
DMMP-R-RL-AC,50.0,50,5,0.76,1.0,28.78963729995303,
Greedy-Nearest,50.0,50,5,0.62,0.5,0.005163300083950162,
PSO,50.0,50,5,0.54,0.65,9.354023899883032,
DPSO,50.0,50,5,0.58,0.75,25.92123660002835,
DMMP-PR-TSA,60.0,60,5,0.4,0.72,0.5507940000388771,
DMMP-R-RL-AC,60.0,60,5,0.7333333333333333,0.92,70.43934130016714,
Greedy-Nearest,60.0,60,5,0.6,0.52,0.007654400076717138,
PSO,60.0,60,5,0.5166666666666667,0.72,11.4377854000777,
DPSO,60.0,60,5,0.45,0.44,33.247548499843106,
DMMP-PR-TSA,70.0,70,5,0.37142857142857144,0.6071428571428571,0.4723249999806285,
DMMP-R-RL-AC,70.0,70,5,0.6,0.8928571428571429,61.11213699984364,
Greedy-Nearest,70.0,70,5,0.5714285714285714,0.4642857142857143,0.00904519995674491,
PSO,70.0,70,5,0.42857142857142855,0.6428571428571429,12.185404799878597,
DPSO,70.0,70,5,0.42857142857142855,0.5357142857142857,37.96927250013687,
DMMP-PR-TSA,80.0,80,5,0.35,0.7096774193548387,0.7186084999702871,
DMMP-R-RL-AC,80.0,80,5,0.5375,0.8709677419354839,72.92809409997426,
Greedy-Nearest,80.0,80,5,0.4875,0.41935483870967744,0.008794399909675121,
PSO,80.0,80,5,0.4,0.5483870967741935,12.598625599872321,
DPSO,80.0,80,5,0.325,0.3870967741935484,47.7091373000294,
DMMP-PR-TSA,90.0,90,5,0.3,0.6060606060606061,0.8622333998791873,
DMMP-R-RL-AC,90.0,90,5,0.5111111111111111,0.8484848484848485,81.11792859993875,
Greedy-Nearest,90.0,90,5,0.45555555555555555,0.3939393939393939,0.010430499911308289,
PSO,90.0,90,5,0.3111111111111111,0.5151515151515151,14.14980770018883,
DPSO,90.0,90,5,0.3111111111111111,0.30303030303030304,64.57654589996673,
DMMP-PR-TSA,100.0,100,5,0.31,0.5675675675675675,0.6153373999986798,
DMMP-R-RL-AC,100.0,100,5,0.49,0.7837837837837838,127.26493179984391,
Greedy-Nearest,100.0,100,5,0.39,0.3783783783783784,0.011521300068125129,
PSO,100.0,100,5,0.31,0.43243243243243246,15.258621299872175,
DPSO,100.0,100,5,0.28,0.32432432432432434,66.13353059999645,
DMMP-PR-TSA,,50,3,0.26,0.5,0.27090250002220273,3.0
DMMP-R-RL-AC,,50,3,0.44,0.7,20.81463439995423,3.0
Greedy-Nearest,,50,3,0.4,0.4,0.006194599904119968,3.0
PSO,,50,3,0.36,0.55,6.655771299963817,3.0
DPSO,,50,3,0.38,0.5,24.110940600046888,3.0
DMMP-PR-TSA,,50,4,0.3,0.5,0.3836236000061035,4.0
DMMP-R-RL-AC,,50,4,0.58,0.8,33.840408199932426,4.0
Greedy-Nearest,,50,4,0.46,0.15,0.007540500024333596,4.0
PSO,,50,4,0.42,0.55,8.519954100018367,4.0
DPSO,,50,4,0.44,0.55,36.66560079995543,4.0
DMMP-PR-TSA,,50,5,0.6,0.8,1.0588566998485476,5.0
DMMP-R-RL-AC,,50,5,0.76,1.0,66.74348960001953,5.0
Greedy-Nearest,,50,5,0.62,0.5,0.015349599998444319,5.0
PSO,,50,5,0.54,0.65,16.068524500122294,5.0
DPSO,,50,5,0.58,0.75,28.72415230004117,5.0
DMMP-PR-TSA,,50,6,0.5,0.75,0.35848110006190836,6.0
DMMP-R-RL-AC,,50,6,0.66,0.8,16.415439600124955,6.0
Greedy-Nearest,,50,6,0.48,0.15,0.008894500089809299,6.0
PSO,,50,6,0.64,0.7,9.293365499936044,6.0
DPSO,,50,6,0.6,0.55,27.04835689999163,6.0
DMMP-PR-TSA,,50,7,0.74,0.85,0.5925666000694036,7.0
DMMP-R-RL-AC,,50,7,0.88,0.95,20.326758300187066,7.0
Greedy-Nearest,,50,7,0.54,0.15,0.01048820000141859,7.0
PSO,,50,7,0.7,0.75,9.583139900118113,7.0
DPSO,,50,7,0.8,0.9,26.407136499881744,7.0
