algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-PR-TSA,,50,8,0.56,0.7,0.7192772999405861,8.0
DMMP-R-RL-AC,,50,8,0.86,1.0,24.064829000039026,8.0
Greedy-Nearest,,50,8,0.58,0.15,0.007861899910494685,8.0
PSO,,50,8,0.72,0.75,10.750119100091979,8.0
DPSO,,50,8,0.94,0.85,25.446965399896726,8.0
DMMP-PR-TSA,,50,9,0.78,0.85,0.6487941998057067,9.0
DMMP-R-RL-AC,,50,9,0.94,0.95,15.728645300026983,9.0
Greedy-Nearest,,50,9,0.58,0.15,0.007938499795272946,9.0
PSO,,50,9,0.8,0.95,11.157953300047666,9.0
DPSO,,50,9,0.88,0.9,26.91145949997008,9.0
DMMP-PR-TSA,,50,10,0.84,0.95,1.0060229999944568,10.0
DMMP-R-RL-AC,,50,10,0.92,1.0,20.044167699990794,10.0
Greedy-Nearest,,50,10,0.72,0.75,0.00777560006827116,10.0
PSO,,50,10,0.9,1.0,10.296701000072062,10.0
DPSO,,50,10,1.0,1.0,26.594225599896163,10.0
DMMP-PR-TSA,,50,11,0.68,0.75,0.4623372999485582,11.0
DMMP-R-RL-AC,,50,11,0.92,1.0,14.259872899856418,11.0
Greedy-Nearest,,50,11,0.56,0.2,0.006230199942365289,11.0
PSO,,50,11,0.86,1.0,11.672119700117037,11.0
DPSO,,50,11,1.0,1.0,26.34540669992566,11.0
DMMP-PR-TSA,,50,12,0.82,0.95,0.8414198001846671,12.0
DMMP-R-RL-AC,,50,12,0.94,1.0,17.317577000008896,12.0
Greedy-Nearest,,50,12,0.72,0.7,0.010790199972689152,12.0
PSO,,50,12,0.88,1.0,12.915981899946928,12.0
DPSO,,50,12,1.0,1.0,31.97120719985105,12.0
DMMP-PR-TSA,,50,13,0.84,0.95,0.4009802001528442,13.0
DMMP-R-RL-AC,,50,13,0.96,1.0,16.321206300053746,13.0
Greedy-Nearest,,50,13,0.72,0.7,0.011835899902507663,13.0
PSO,,50,13,0.9,1.0,13.660776300122961,13.0
DPSO,,50,13,1.0,1.0,31.53153629996814,13.0
DMMP-PR-TSA,,50,14,0.92,1.0,0.3301327000372112,14.0
DMMP-R-RL-AC,,50,14,0.98,1.0,12.655138799920678,14.0
Greedy-Nearest,,50,14,0.74,0.7,0.012693900149315596,14.0
PSO,,50,14,0.96,1.0,12.272839399985969,14.0
DPSO,,50,14,1.0,1.0,33.25106950011104,14.0
DMMP-PR-TSA,,50,15,0.82,0.9,0.42299839993938804,15.0
DMMP-R-RL-AC,,50,15,0.96,1.0,11.161545400042087,15.0
Greedy-Nearest,,50,15,0.8,0.7,0.020563700003549457,15.0
PSO,,50,15,0.92,1.0,13.886533099925146,15.0
DPSO,,50,15,1.0,1.0,32.56801120005548,15.0
DMMP-PR-TSA,,50,16,1.0,1.0,0.33077050000429153,16.0
DMMP-R-RL-AC,,50,16,1.0,1.0,6.936355700017884,16.0
Greedy-Nearest,,50,16,0.78,0.75,0.013235999969765544,16.0
PSO,,50,16,0.94,1.0,14.083747299853712,16.0
DPSO,,50,16,1.0,1.0,31.954988299869,16.0
DMMP-PR-TSA,,50,17,1.0,1.0,1.2309079999104142,17.0
DMMP-R-RL-AC,,50,17,1.0,1.0,9.666277199983597,17.0
Greedy-Nearest,,50,17,0.84,0.85,0.01110589993186295,17.0
PSO,,50,17,1.0,1.0,15.343996699899435,17.0
DPSO,,50,17,1.0,1.0,35.719312499975786,17.0
DMMP-PR-TSA,,50,18,1.0,1.0,0.6185943000018597,18.0
DMMP-R-RL-AC,,50,18,1.0,1.0,5.607732699951157,18.0
Greedy-Nearest,,50,18,0.64,0.45,0.013757100095972419,18.0
PSO,,50,18,0.98,1.0,15.44338579988107,18.0
DPSO,,50,18,1.0,1.0,34.11000069999136,18.0
DMMP-PR-TSA,,50,19,1.0,1.0,0.337717599933967,19.0
DMMP-R-RL-AC,,50,19,1.0,1.0,8.213170999893919,19.0
Greedy-Nearest,,50,19,0.78,0.8,0.014513100031763315,19.0
PSO,,50,19,0.98,0.95,16.252500500064343,19.0
DPSO,,50,19,1.0,1.0,36.18387720012106,19.0
DMMP-PR-TSA,,50,20,1.0,1.0,0.522437300067395,20.0
DMMP-R-RL-AC,,50,20,1.0,1.0,9.189932300010696,20.0
Greedy-Nearest,,50,20,0.58,0.25,0.015528399962931871,20.0
PSO,,50,20,0.94,1.0,16.33913529990241,20.0
DPSO,,50,20,1.0,1.0,34.87071059993468,20.0
