uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.44,0.48,0.34,0.5,0.34
4,0.56,0.64,0.4,0.6,0.46
5,0.7,0.78,0.52,0.74,0.58
6,0.82,0.86,0.62,0.82,0.62
7,0.86,0.92,0.9,0.92,0.84
8,0.92,0.98,1.0,1.0,0.82
9,0.96,0.98,1.0,1.0,0.84
