tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
30,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,0.6,0.8,0.9
50,0.9333333333333333,1.0,0.6,0.4,0.6666666666666666
60,0.9444444444444444,1.0,0.3888888888888889,0.3888888888888889,0.6666666666666666
70,1.0,1.0,0.55,0.1,0.6
80,1.0,1.0,0.34782608695652173,0.17391304347826086,0.4782608695652174
90,0.9259259259259259,0.8888888888888888,0.25925925925925924,0.0,0.37037037037037035
100,0.8666666666666667,0.7666666666666667,0.26666666666666666,0.03333333333333333,0.3333333333333333
