algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
PSO,,50,7,0.84,1.0,15.155753900005948,7.0
DPSO,,50,7,0.9,0.9333333333333333,40.47646450001048,7.0
DMMP-PR-TSA,,50,8,0.92,1.0,1.0377469999948516,8.0
DMMP-R-RL-AC,,50,8,0.98,1.0,0.9145902000018395,8.0
Greedy-Nearest,,50,8,1.0,1.0,0.052726399968378246,8.0
PSO,,50,8,0.82,1.0,14.834213000023738,8.0
DPSO,,50,8,1.0,1.0,40.057712999987416,8.0
DMMP-PR-TSA,,50,9,0.96,1.0,0.6343584000132978,9.0
DMMP-R-RL-AC,,50,9,0.98,1.0,0.8429566000122577,9.0
Greedy-Nearest,,50,9,1.0,1.0,0.050672899989876896,9.0
PSO,,50,9,0.84,1.0,15.499511300004087,9.0
DPSO,,50,9,1.0,1.0,42.994945600046776,9.0
