uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.359757199883461,63.084889200050384,34.8391575999558,0.011266600107774138,11.78003489994444
4,0.5366597999818623,86.12470990000293,40.287044500000775,0.009926399914547801,13.547529000090435
5,0.6331710000522435,125.72606189991347,34.96741640008986,0.009295700117945671,11.491564499912784
6,0.9205583999864757,45.513748900033534,36.98157879989594,0.00915789999999106,12.816874099895358
7,0.5850896001793444,68.84569099987857,38.05087470007129,0.011521700071170926,13.524970700033009
8,0.5198832000605762,59.57642050017603,52.086977400118485,0.012793299974873662,15.384634400019422
9,0.6419574001338333,32.30970889981836,44.88620879990049,0.015851600095629692,16.637225799961016
10,0.9796076000202447,28.406970100011677,51.938890899997205,0.013691100059077144,19.72228129999712
11,0.7956912000663579,23.18060899991542,56.1991008000914,0.017456699861213565,21.921276499982923
12,0.8746792001184076,39.13874289998785,48.19187119998969,0.021964099956676364,23.230672200210392
13,0.493090899894014,12.545968800084665,52.13546119979583,0.017457899870350957,21.812534200027585
14,0.6831998000852764,11.820369000080973,56.10364340012893,0.024839299963787198,23.838288799859583
15,0.6971781000029296,8.734012100147083,57.16492050001398,0.017441200092434883,23.356447000056505
16,0.6272853000555187,8.773585199844092,60.844413000158966,0.02063439995981753,25.045879299985245
17,0.7532666001934558,8.992252100026235,50.28898730012588,0.02236800012178719,23.535649199970067
18,0.5880456999875605,11.659889800008386,54.872245399979874,0.021387100219726562,24.856166700134054
19,0.5421182999853045,8.392349699977785,54.73208300000988,0.02265820000320673,23.656405699905008
20,1.2923632999882102,8.941722499905154,54.56079830019735,0.015661400044336915,24.25653290003538
