tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,0.08597659994848073,0.5048020000103861,6.286798199871555,0.008069900097325444,3.9557607998140156
20,0.1922456999309361,4.323770799906924,11.163902200059965,0.008961200015619397,5.6787368999794126
30,0.27071599988266826,24.864192300010473,24.49255879991688,0.007958499947562814,9.621771299978718
40,0.7636224001180381,54.16680540004745,23.860921000130475,0.010816900059580803,9.58812199998647
50,0.5755172001663595,110.3874728998635,33.99202669993974,0.010721799917519093,10.79666420002468
60,1.3217794999945909,68.39957900019363,36.143230699934065,0.011389299994334579,12.996181499911472
70,0.6745893999468535,151.6686416999437,73.0299851000309,0.012946199858561158,20.82511189999059
80,1.6251259001437575,289.55873830011114,85.23483800003305,0.04428829997777939,29.767959400080144
90,1.4773271000012755,272.20398960006423,84.6530300998129,0.011155900079756975,19.712592599913478
100,0.9314617000054568,275.3960596001707,98.84806969994679,0.022712100064381957,26.082793599925935
