algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,30,3,0.4666666666666667,0.75,0.2184586999937892
DMMP-R-RL-AC,3,30,3,0.6,0.9166666666666666,15.052446200046688
Greedy-Nearest,3,30,3,0.3,0.0,0.005514099961146712
PSO,3,30,3,0.5333333333333333,0.6666666666666666,2.8792459999676794
DMMP-PR-TSA,4,30,4,0.4666666666666667,0.6666666666666666,0.2762327000964433
DMMP-R-RL-AC,4,30,4,0.7666666666666667,1.0,24.188541899900883
Greedy-Nearest,4,30,4,0.5333333333333333,0.0,0.006642800057306886
PSO,4,30,4,0.7,0.9166666666666666,3.3061871000099927
DMMP-PR-TSA,5,30,5,0.6666666666666666,0.5833333333333334,0.29463239992037416
DMMP-R-RL-AC,5,30,5,0.9333333333333333,1.0,17.829721599817276
Greedy-Nearest,5,30,5,0.6666666666666666,0.3333333333333333,0.005627700127661228
PSO,5,30,5,0.9666666666666667,1.0,3.8004902000539005
DMMP-PR-TSA,6,30,6,0.8,0.75,0.26077409996651113
DMMP-R-RL-AC,6,30,6,0.9666666666666667,1.0,10.098818900063634
Greedy-Nearest,6,30,6,0.4666666666666667,0.0,0.0056252998765558004
PSO,6,30,6,0.8666666666666667,1.0,4.222499500028789
DMMP-PR-TSA,7,30,7,1.0,1.0,0.32051629992201924
DMMP-R-RL-AC,7,30,7,1.0,1.0,7.715529800159857
Greedy-Nearest,7,30,7,0.4666666666666667,0.08333333333333333,0.007751000113785267
PSO,7,30,7,1.0,1.0,4.302855000132695
DMMP-PR-TSA,8,30,8,1.0,1.0,0.24971650005318224
DMMP-R-RL-AC,8,30,8,1.0,1.0,7.325261399848387
Greedy-Nearest,8,30,8,0.5333333333333333,0.08333333333333333,0.006499400129541755
PSO,8,30,8,0.9666666666666667,1.0,4.600868700072169
DMMP-PR-TSA,9,30,9,0.9333333333333333,1.0,0.24228100012987852
DMMP-R-RL-AC,9,30,9,0.9666666666666667,1.0,11.711577700218186
Greedy-Nearest,9,30,9,0.5333333333333333,0.0,0.0087268000934273
PSO,9,30,9,0.9666666666666667,1.0,5.774380200076848
DMMP-PR-TSA,10,30,10,1.0,1.0,0.25874560000374913
DMMP-R-RL-AC,10,30,10,1.0,1.0,5.358777099987492
Greedy-Nearest,10,30,10,0.5,0.0,0.009287500055506825
PSO,10,30,10,1.0,1.0,5.128851499874145
DMMP-PR-TSA,11,30,11,1.0,1.0,0.25180290010757744
DMMP-R-RL-AC,11,30,11,1.0,1.0,3.127656599972397
Greedy-Nearest,11,30,11,0.6333333333333333,0.25,0.011900800047442317
PSO,11,30,11,1.0,1.0,5.276172599988058
DMMP-PR-TSA,12,30,12,0.9,1.0,0.2940265000797808
DMMP-R-RL-AC,12,30,12,1.0,1.0,7.205206300131977
Greedy-Nearest,12,30,12,0.7333333333333333,0.6666666666666666,0.010941399959847331
PSO,12,30,12,1.0,1.0,5.864768699975684
DMMP-PR-TSA,13,30,13,0.9333333333333333,1.0,0.23897220008075237
DMMP-R-RL-AC,13,30,13,0.9666666666666667,1.0,6.7879522000439465
Greedy-Nearest,13,30,13,0.7666666666666667,0.6666666666666666,0.010253999847918749
PSO,13,30,13,1.0,1.0,6.168198100058362
DMMP-PR-TSA,14,30,14,1.0,1.0,0.2590441000647843
DMMP-R-RL-AC,14,30,14,1.0,1.0,4.547385200159624
Greedy-Nearest,14,30,14,0.8666666666666667,1.0,0.010987300192937255
PSO,14,30,14,1.0,1.0,6.4433518999721855
DMMP-PR-TSA,15,30,15,1.0,1.0,0.31990789994597435
DMMP-R-RL-AC,15,30,15,1.0,1.0,4.361598199931905
Greedy-Nearest,15,30,15,0.7,0.6666666666666666,0.01013109995983541
PSO,15,30,15,1.0,1.0,6.692942199995741
DMMP-PR-TSA,16,30,16,1.0,1.0,0.26613120012916625
DMMP-R-RL-AC,16,30,16,1.0,1.0,4.385479600168765
Greedy-Nearest,16,30,16,0.6666666666666666,0.6666666666666666,0.014589600032195449
PSO,16,30,16,1.0,1.0,7.55150349996984
DMMP-PR-TSA,17,30,17,1.0,1.0,0.2115837000310421
DMMP-R-RL-AC,17,30,17,1.0,1.0,1.7477337999735028
Greedy-Nearest,17,30,17,0.8333333333333334,0.8333333333333334,0.02150689996778965
PSO,17,30,17,1.0,1.0,7.470583799993619
DMMP-PR-TSA,18,30,18,1.0,1.0,0.27326439996249974
DMMP-R-RL-AC,18,30,18,1.0,1.0,4.2756945001892745
Greedy-Nearest,18,30,18,0.8666666666666667,1.0,0.010897599859163165
PSO,18,30,18,1.0,1.0,7.482268000021577
DMMP-PR-TSA,19,30,19,1.0,1.0,0.227752499980852
DMMP-R-RL-AC,19,30,19,1.0,1.0,1.8794877999462187
Greedy-Nearest,19,30,19,0.7666666666666667,1.0,0.010902400128543377
PSO,19,30,19,1.0,1.0,7.752039399929345
DMMP-PR-TSA,20,30,20,1.0,1.0,0.24145890004001558
DMMP-R-RL-AC,20,30,20,1.0,1.0,1.7276222999207675
Greedy-Nearest,20,30,20,0.6,0.4166666666666667,0.010592699982225895
PSO,20,30,20,1.0,1.0,7.970291600096971
