uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.28,0.46,0.28,0.36,0.32
4,0.42,0.66,0.48,0.5,0.42
5,0.36,0.76,0.64,0.64,0.56
6,0.58,0.74,0.58,0.7,0.52
7,0.74,0.88,0.92,0.76,0.7
8,0.82,0.92,0.96,0.8,0.8
9,0.68,0.92,0.98,0.78,0.74
10,0.8,0.92,1.0,0.78,0.82
11,0.96,1.0,1.0,0.86,0.94
12,0.72,0.94,1.0,0.84,0.9
13,1.0,1.0,1.0,0.8,0.9
14,1.0,1.0,1.0,0.9,0.96
15,1.0,1.0,1.0,0.9,0.96
16,1.0,1.0,1.0,0.9,1.0
17,1.0,1.0,1.0,0.86,0.96
18,1.0,1.0,1.0,0.8,1.0
19,1.0,1.0,1.0,0.7,1.0
20,1.0,1.0,1.0,0.76,1.0
