tasks,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
10,1.0,1.0,0.9,1.0
20,0.8,0.95,0.75,0.9
30,0.5333333333333333,0.9,0.6666666666666666,0.8666666666666667
40,0.55,0.775,0.65,0.6
50,0.36,0.76,0.64,0.56
60,0.26666666666666666,0.6666666666666666,0.5833333333333334,0.4166666666666667
70,0.4142857142857143,0.5857142857142857,0.5428571428571428,0.45714285714285713
80,0.3625,0.5875,0.5375,0.3125
90,0.26666666666666666,0.5333333333333333,0.5111111111111111,0.3
100,0.28,0.5,0.47,0.24
