algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-PR-TSA,10.0,10,5,1.0,1.0,0.06724389991723001,
DMMP-R-RL-AC,10.0,10,5,1.0,1.0,0.41687149996869266,
Greedy-Nearest,10.0,10,5,0.9,1.0,0.007786500034853816,
PSO,10.0,10,5,1.0,1.0,3.676671899855137,
DMMP-PR-TSA,20.0,20,5,0.8,0.8,0.10306439991109073,
DMMP-R-RL-AC,20.0,20,5,0.95,1.0,4.32759950007312,
Greedy-Nearest,20.0,20,5,0.75,1.0,0.005388900171965361,
PSO,20.0,20,5,0.9,1.0,5.033752999966964,
DMMP-PR-TSA,30.0,30,5,0.5333333333333333,0.8888888888888888,0.25728609994985163,
DMMP-R-RL-AC,30.0,30,5,0.9,1.0,20.2020514998585,
Greedy-Nearest,30.0,30,5,0.6666666666666666,1.0,0.006686100037768483,
PSO,30.0,30,5,0.8666666666666667,0.8888888888888888,6.487555999774486,
DMMP-PR-TSA,40.0,40,5,0.55,0.5714285714285714,0.31127070006914437,
DMMP-R-RL-AC,40.0,40,5,0.775,0.8571428571428571,44.701726799830794,
Greedy-Nearest,40.0,40,5,0.65,1.0,0.013934600166976452,
PSO,40.0,40,5,0.6,0.7142857142857143,10.849104499910027,
DMMP-PR-TSA,50.0,50,5,0.36,0.5,0.5841614999808371,
DMMP-R-RL-AC,50.0,50,5,0.76,0.95,125.46870670001954,
Greedy-Nearest,50.0,50,5,0.64,0.9,0.00817420007660985,
PSO,50.0,50,5,0.56,0.85,13.509964500088245,
DMMP-PR-TSA,60.0,60,5,0.26666666666666666,0.45454545454545453,1.4090286998543888,
DMMP-R-RL-AC,60.0,60,5,0.6666666666666666,0.8636363636363636,80.481510899961,
Greedy-Nearest,60.0,60,5,0.5833333333333334,0.8181818181818182,0.00869979988783598,
PSO,60.0,60,5,0.4166666666666667,0.5454545454545454,14.417216999921948,
DMMP-PR-TSA,70.0,70,5,0.4142857142857143,0.782608695652174,0.9500849000178277,
