uavs,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
3,0.55,0.7,0.45,0.4
4,0.65,0.85,0.75,0.45
5,0.5,0.95,0.9,0.85
6,0.7,0.85,0.6,0.8
7,0.8,0.95,0.7,0.9
8,0.95,1.0,0.7,0.9
9,0.7,0.95,0.8,0.9
10,0.85,0.95,0.8,0.85
11,1.0,1.0,1.0,1.0
12,0.8,1.0,0.9,0.95
13,1.0,1.0,0.6,0.95
14,1.0,1.0,0.9,1.0
15,1.0,1.0,0.9,1.0
16,1.0,1.0,0.9,1.0
17,1.0,1.0,0.7,0.95
18,1.0,1.0,0.6,1.0
19,1.0,1.0,0.85,1.0
20,1.0,1.0,0.55,1.0
