algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,50,3,0.28,0.55,0.359757199883461
DMMP-R-RL-AC,3,50,3,0.46,0.7,63.084889200050384
Greedy-Nearest,3,50,3,0.36,0.45,0.011266600107774138
PSO,3,50,3,0.32,0.4,11.78003489994444
DPSO,3,50,3,0.28,0.3,34.8391575999558
DMMP-PR-TSA,4,50,4,0.42,0.65,0.5366597999818623
DMMP-R-RL-AC,4,50,4,0.66,0.85,86.12470990000293
Greedy-Nearest,4,50,4,0.5,0.75,0.009926399914547801
PSO,4,50,4,0.42,0.45,13.547529000090435
DPSO,4,50,4,0.48,0.7,40.287044500000775
DMMP-PR-TSA,5,50,5,0.36,0.5,0.6331710000522435
DMMP-R-RL-AC,5,50,5,0.76,0.95,125.72606189991347
Greedy-Nearest,5,50,5,0.64,0.9,0.009295700117945671
PSO,5,50,5,0.56,0.85,11.491564499912784
DPSO,5,50,5,0.64,0.75,34.96741640008986
DMMP-PR-TSA,6,50,6,0.58,0.7,0.9205583999864757
DMMP-R-RL-AC,6,50,6,0.74,0.85,45.513748900033534
Greedy-Nearest,6,50,6,0.7,0.6,0.00915789999999106
PSO,6,50,6,0.52,0.8,12.816874099895358
DPSO,6,50,6,0.58,0.6,36.98157879989594
DMMP-PR-TSA,7,50,7,0.74,0.8,0.5850896001793444
DMMP-R-RL-AC,7,50,7,0.88,0.95,68.84569099987857
Greedy-Nearest,7,50,7,0.76,0.7,0.011521700071170926
PSO,7,50,7,0.7,0.9,13.524970700033009
DPSO,7,50,7,0.92,0.95,38.05087470007129
DMMP-PR-TSA,8,50,8,0.82,0.95,0.5198832000605762
DMMP-R-RL-AC,8,50,8,0.92,1.0,59.57642050017603
Greedy-Nearest,8,50,8,0.8,0.7,0.012793299974873662
PSO,8,50,8,0.8,0.9,15.384634400019422
DPSO,8,50,8,0.96,0.9,52.086977400118485
DMMP-PR-TSA,9,50,9,0.68,0.7,0.6419574001338333
DMMP-R-RL-AC,9,50,9,0.92,0.95,32.30970889981836
Greedy-Nearest,9,50,9,0.78,0.8,0.015851600095629692
PSO,9,50,9,0.74,0.9,16.637225799961016
DPSO,9,50,9,0.98,1.0,44.88620879990049
DMMP-PR-TSA,10,50,10,0.8,0.85,0.9796076000202447
DMMP-R-RL-AC,10,50,10,0.92,0.95,28.406970100011677
Greedy-Nearest,10,50,10,0.78,0.8,0.013691100059077144
PSO,10,50,10,0.82,0.85,19.72228129999712
DPSO,10,50,10,1.0,1.0,51.938890899997205
DMMP-PR-TSA,11,50,11,0.96,1.0,0.7956912000663579
DMMP-R-RL-AC,11,50,11,1.0,1.0,23.18060899991542
Greedy-Nearest,11,50,11,0.86,1.0,0.017456699861213565
PSO,11,50,11,0.94,1.0,21.921276499982923
DPSO,11,50,11,1.0,1.0,56.1991008000914
DMMP-PR-TSA,12,50,12,0.72,0.8,0.8746792001184076
DMMP-R-RL-AC,12,50,12,0.94,1.0,39.13874289998785
Greedy-Nearest,12,50,12,0.84,0.9,0.021964099956676364
PSO,12,50,12,0.9,0.95,23.230672200210392
DPSO,12,50,12,1.0,1.0,48.19187119998969
DMMP-PR-TSA,13,50,13,1.0,1.0,0.493090899894014
DMMP-R-RL-AC,13,50,13,1.0,1.0,12.545968800084665
Greedy-Nearest,13,50,13,0.8,0.6,0.017457899870350957
PSO,13,50,13,0.9,0.95,21.812534200027585
DPSO,13,50,13,1.0,1.0,52.13546119979583
DMMP-PR-TSA,14,50,14,1.0,1.0,0.6831998000852764
DMMP-R-RL-AC,14,50,14,1.0,1.0,11.820369000080973
Greedy-Nearest,14,50,14,0.9,0.9,0.024839299963787198
PSO,14,50,14,0.96,1.0,23.838288799859583
DPSO,14,50,14,1.0,1.0,56.10364340012893
DMMP-PR-TSA,15,50,15,1.0,1.0,0.6971781000029296
DMMP-R-RL-AC,15,50,15,1.0,1.0,8.734012100147083
Greedy-Nearest,15,50,15,0.9,0.9,0.017441200092434883
PSO,15,50,15,0.96,1.0,23.356447000056505
DPSO,15,50,15,1.0,1.0,57.16492050001398
DMMP-PR-TSA,16,50,16,1.0,1.0,0.6272853000555187
DMMP-R-RL-AC,16,50,16,1.0,1.0,8.773585199844092
Greedy-Nearest,16,50,16,0.9,0.9,0.02063439995981753
PSO,16,50,16,1.0,1.0,25.045879299985245
DPSO,16,50,16,1.0,1.0,60.844413000158966
DMMP-PR-TSA,17,50,17,1.0,1.0,0.7532666001934558
DMMP-R-RL-AC,17,50,17,1.0,1.0,8.992252100026235
Greedy-Nearest,17,50,17,0.86,0.7,0.02236800012178719
PSO,17,50,17,0.96,0.95,23.535649199970067
DPSO,17,50,17,1.0,1.0,50.28898730012588
DMMP-PR-TSA,18,50,18,1.0,1.0,0.5880456999875605
DMMP-R-RL-AC,18,50,18,1.0,1.0,11.659889800008386
Greedy-Nearest,18,50,18,0.8,0.6,0.021387100219726562
PSO,18,50,18,1.0,1.0,24.856166700134054
DPSO,18,50,18,1.0,1.0,54.872245399979874
DMMP-PR-TSA,19,50,19,1.0,1.0,0.5421182999853045
DMMP-R-RL-AC,19,50,19,1.0,1.0,8.392349699977785
Greedy-Nearest,19,50,19,0.7,0.85,0.02265820000320673
PSO,19,50,19,1.0,1.0,23.656405699905008
DPSO,19,50,19,1.0,1.0,54.73208300000988
DMMP-PR-TSA,20,50,20,1.0,1.0,1.2923632999882102
DMMP-R-RL-AC,20,50,20,1.0,1.0,8.941722499905154
Greedy-Nearest,20,50,20,0.76,0.55,0.015661400044336915
PSO,20,50,20,1.0,1.0,24.25653290003538
DPSO,20,50,20,1.0,1.0,54.56079830019735
